Nº;ID;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
132;CzMSGJQd;01/12/2023;15:30;FRANCE;NATIONAL - ROUND 15;Sochaux;Marignane;23;30;20;30;0,7667;0,6667;1,4334;1,6;1,1136;1,1333;0,9568;2,7333
133;pz9t3xDs;01/12/2023;15:00;GERMANY;3. LIGA - ROUND 17;Unterhaching;Hallescher;17;30;26;30;0,5667;0,8667;1,4334;1,0333;1,1101;1,6667;1,2202;2,7
134;GfVKY2B1;01/12/2023;08:00;RUSSIA;YOUTH LEAGUE - ROUND 19;FK Orenburg U19;UOR 5-Yegoryevsk U19;23;30;20;30;0,7667;0,6667;1,4334;1,7333;1,3888;1,6667;1,4453;3,4
135;dYbS8Qu4;01/12/2023;13:00;RWANDA;PREMIER LEAGUE - ROUND 12;Rayon Sport;Bugesera;24;30;19;30;0,8;0,6333;1,4333;1,3333;0,9775;0,8667;0,8055;2,2
136;nspJ7R5R;01/12/2023;16:45;ENGLAND;FA CUP - 1/64-FINALS;York City;Wigan;21;30;22;30;0,7;0,7333;1,4333;1,1;0,9074;1,2;0,9798;2,3
137;ldujIFmR;01/12/2023;09:00;SERBIA;PRVA LIGA - ROUND 19;RFK Novi Sad;FK Indjija;21;30;22;30;0,7;0,7333;1,4333;1,0;0,9309;1,1667;1,0028;2,1667
138;0t4M9hPd;01/12/2023;16:30;POLAND;DIVISION 1 - ROUND 17;Termalica B-B.;Wisla;22;30;21;30;0,7333;0,7;1,4333;1,2667;0,9638;1,3;1,1874;2,5667
139;Crv1mZB7;01/12/2023;15:00;GERMANY;OBERLIGA HESSEN - ROUND 20;Waldgirmes;TUS Dietkirchen;21;30;22;30;0,7;0,7333;1,4333;1,6333;1,538;1,4;1,1431;3,0333
140;MehV7Wg9;01/12/2023;14:00;POLAND;DIVISION 1 - ROUND 17;Polonia Warszawa;S. Rzeszow;21;30;22;30;0,7;0,7333;1,4333;1,2667;1,0306;1,2333;1,116;2,5
141;IRV63za9;01/12/2023;16:30;POLAND;EKSTRAKLASA - ROUND 17;Gornik Zabrze;Pogon Szczecin;22;30;21;30;0,7333;0,7;1,4333;1,2667;1,0934;1,2667;1,0934;2,5334
142;WjHjgrGO;01/12/2023;16:45;NORTHERN IRELAND;NIFL PREMIERSHIP - ROUND 19;Glentoran;Linfield;21;30;22;30;0,7;0,7333;1,4333;1,4333;1,2828;1,2667;1,0625;2,7
143;WxnTcL0N;01/12/2023;17:10;EUROPE;UEFA NATIONS LEAGUE WOMEN - LEAGUE A - ROUND 5;France W;Austria W;22;30;21;30;0,7333;0,7;1,4333;1,8;1,8148;1,2667;1,2092;3,0667
144;K8DnB7ea;01/12/2023;16:00;NETHERLANDS;EERSTE DIVISIE - ROUND 17;Maastricht;Jong AZ;21;30;22;30;0,7;0,7333;1,4333;1,4;1,2806;1,4333;1,2023;2,8333
145;t8DeO5iE;01/12/2023;16:00;EUROPE;UEFA NATIONS LEAGUE WOMEN - LEAGUE B - ROUND 5;Belarus W;Czech Republic W;25;30;18;30;0,8333;0,6;1,4333;1,5333;1,0242;1,3667;1,4488;2,9
146;KUMd0Odj;01/12/2023;21:10;TRINIDAD AND TOBAGO;TT PREMIER LEAGUE - ROUND 2;La Horquetta;Morvant Caledonia Utd;22;30;21;30;0,7333;0,7;1,4333;1,8333;1,5074;1,3667;1,1968;3,2
147;G692vE8j;01/12/2023;14:10;AUSTRIA;2. LIGA - ROUND 16;Amstetten;Grazer AK;21;30;22;30;0,7;0,7333;1,4333;1,3;1,0693;1,7;1,394;3,0
